"Fecha_Accidente","DIRECCION ACCIDENTE","CLASE ACCIDENTE","SERVICIO_VEHICULO_ACCIDENTADO","CLASE_VEHICULO_ACCIDENTADO","CANTIDAD_ACCIDENTES"
"2018-01-01T00:00:00.000","AV CIRCUNVALAR CR 9G","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-01T00:00:00.000","CL 110 CR 46","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-01T00:00:00.000","CL 110 CR 46","Choque","PARTICULAR","CAMPERO","1"
"2018-01-01T00:00:00.000","CL 87 9H 24","Atropello","OFICIAL","MOTOCICLETA","1"
"2018-01-01T00:00:00.000","CLLE 119B CRA 11B","Atropello","PARTICULAR","AUTOMOVIL","1"
"2018-01-01T00:00:00.000","CLLE 72 CRA 29","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-01T00:00:00.000","CR 8 CL 41","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-01T00:00:00.000","CR 8 CL 41","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-01T00:00:00.000","VIA 40 CALLE 75","Choque","PUBLICO","BUSETA","1"
"2018-01-01T00:00:00.000","VIA 40 CALLE 75","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-02T00:00:00.000","CARRERA 25 37-42","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-02T00:00:00.000","CARRERA 25 37-42","Choque","PUBLICO","BUS","1"
"2018-01-02T00:00:00.000","CIRCUNVALAR CR 9G","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-02T00:00:00.000","CIRCUNVALAR CR 9G","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-02T00:00:00.000","CL 19 CR 2C","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-02T00:00:00.000","CL 30 CR 30","Choque","PUBLICO","AUTOMOVIL","2"
"2018-01-02T00:00:00.000","CL 47 CR 38","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-02T00:00:00.000","CL 47 CR 38","Choque","PUBLICO","BUS","1"
"2018-01-02T00:00:00.000","CL 89 CON 75B","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-02T00:00:00.000","CL 89 CON 75B","Choque","PUBLICO","BUS","1"
"2018-01-02T00:00:00.000","CLLE 39 CRA 27","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-02T00:00:00.000","CLLE 39 CRA 27","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-02T00:00:00.000","CLLE 96 CRA 64","Choque","PARTICULAR","CAMPERO","1"
"2018-01-02T00:00:00.000","CLLE 96 CRA 64","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-02T00:00:00.000","CR 51B 1D 35","Choque","PARTICULAR","MOTOCICLETA","2"
"2018-01-02T00:00:00.000","VIA 40  CLLE 85","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-02T00:00:00.000","VIA 40 CL 77B","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-02T00:00:00.000","VIA 40 CL 77B","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-03T00:00:00.000","AV CIRCUNVALAR CON AV CORDIALIDAD","Choque","PARTICULAR","CAMIONETA","1"
"2018-01-03T00:00:00.000","AV CIRCUNVALAR CON AV CORDIALIDAD","Choque","PUBLICO","CAMIONETA","1"
"2018-01-03T00:00:00.000","AV CIRCUNVALAR CR 51B","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-03T00:00:00.000","CARRERA 38 51-17","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-03T00:00:00.000","CARRERA 38 51-17","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-03T00:00:00.000","CL 110 CR 6Q","Choque","PARTICULAR","CAMION","1"
"2018-01-03T00:00:00.000","CL 19 CR 5C","Choque","PARTICULAR","AUTOMOVIL","2"
"2018-01-03T00:00:00.000","CL 19 CR 5C","Choque","PUBLICO","AUTOMOVIL","2"
"2018-01-03T00:00:00.000","CL 19 CR 7D","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-03T00:00:00.000","CL 19 CR 7D","Choque","PUBLICO","CAMION","1"
"2018-01-03T00:00:00.000","CL 27B CR 20 B 44","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-03T00:00:00.000","CL 27B CR 20 B 44","Choque",,"BICICLETA","1"
"2018-01-03T00:00:00.000","CLLE 110 CRA 52","Atropello","PARTICULAR","MOTOCICLETA","1"
"2018-01-03T00:00:00.000","CR 15 SUR 46 500","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-03T00:00:00.000","CR 15 SUR 46 500","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-03T00:00:00.000","CR 21 CL 74B 23","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-03T00:00:00.000","CR 21 CL 74B 23","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-03T00:00:00.000","CR 7F NO 47 56","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-03T00:00:00.000","CR 7F NO 47 56","Choque","PUBLICO","VOLQUETA","1"
"2018-01-03T00:00:00.000","DIAG 5 CR 8","Choque","PARTICULAR","AUTOMOVIL","1"
"2018-01-03T00:00:00.000","DIAG 5 CR 8","Choque","PUBLICO","VOLQUETA","1"
"2018-01-04T00:00:00.000","CALLE 110 CARRERA 38","Choque","PARTICULAR","CAMIONETA","2"
"2018-01-04T00:00:00.000","CL 110 CR 10","Choque","PUBLICO","AUTOMOVIL","1"
"2018-01-04T00:00:00.000","CL 110 CR 10","Choque","PARTICULAR","MOTOCICLETA","1"
"2018-01-04T00:00:00.000","CL 19 CR 1C","Choque","PARTICULAR","AUTOMOVIL","1"
